BookOfJoshua,JoshuaRiddle,ParallelToBereshit,1,את מה נשאו הכהנים כשבתוך הירדן היו עומדים,ארון הברית
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,2,לאן באו שני המרגלים שיהושע שלח מן השִטים,בית אשה זונה
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,3,איפה היו ערוכות הפִשתים ששם החביאה רחב את המרגלים,גג
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,4,לאן יצאו הרודפים לנסות להשיג את המרגלים,דרך הירדן
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,5,לאן אמרה רחב למרגלים  שאליהם ללכת לשלשה ימים,ההרה
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,6,'מה ציוה ה'' את יהושע שיעסוק בספר יומם ולילה',והגית בו
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,7,'איזה ארץ נשבע ה'' שיתן לאבותם אבל גם נשבע לבלתי הראותם',זבת חלב ודבש
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,8,עם מה יהושע מל את הזכרים ואז את הפסח היו עושים,חרבות צֻרים
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,9,מתי עלתה רחב למרגלים והם החליפו עמה דברים,טרם ישכבון
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,10,שם המנהיג של ישראל החדש שהכניס לארץ ואותה כבש,יהושע
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,11,מי עמדו בתוך הירדן לפני ישראל הלכו הָכֵן,כהנים
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,12,מה ליהושע אמר המלאך כששאלו האם מאויבינו הלך,לא
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,13,מה שבת ממחרת הפסח אחרי שעומר הביאו בזבח,מן
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,14,מה המרגלים אמרו שהם יהיו אם משפחתה של רחב מהדלת יצאו,נקִים
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,15,מה עשו לשער האנשים שיצאו לרדוף אחרי המרגלים,סגרו
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,16,מתי עלו ישראל מהירדן ואז הכהנים עמדו הָכֵן,עשור לחדש הראשוון
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,17,איזה חג חגגו ישראל  אחרי שנימולו במצות האל,פסח
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,18,מה השוטרים אמרו לעם שיכינו כי עוד מעט את הירדן יעבורו,צֵדָה
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,19,היכן עברו השוטרים לפני שנסעו מהשִטים,קרב המחנה
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,20,איך נקראים אותם אנשים שאחרי המרגלים הם מחפשים,רֹדפים
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,21,כמה ימים אמרו השוטרים שנשארו לעם לפני שהם עוברים,שלֹשה
BookOfJoshua,JoshuaRiddle,ParallelToBereshit,22,איך נקרא הסמל שעל החלון כמו דגל,תִקוַת השְני
