1,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,א.,את מה נשאו הכהנים כשבתוך הירדן היו עומדים,ארון הברית
2,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ב.,לאן באו שני המרגלים שיהושע שלח מן השִטים,בית אשה זונה
3,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ג.,איפה היו ערוכות הפִשתים ששם החביאה רחב את המרגלים,גג
4,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ד.,לאן יצאו הרודפים לנסות להשיג את המרגלים,דרך הירדן
5,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ה.,לאן אמרה רחב למרגלים  שאליהם ללכת לשלשה ימים,ההרה
6,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ו.,'מה ציוה ה'' את יהושע שיעסוק בספר יומם ולילה',והגית בו
7,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ז.,'איזה ארץ נשבע ה'' שיתן לאבותם אבל גם נשבע לבלתי הראותם',זבת חלב ודבש
8,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ח.,עם מה יהושע מל את הזכרים ואז את הפסח היו עושים,חרבות צֻרים
9,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ט.,מתי עלתה רחב למרגלים והם החליפו עמה דברים,טרם ישכבון
10,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,י.,שם המנהיג של ישראל החדש שהכניס לארץ ואותה כבש,יהושע
11,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,כ.,מי עמדו בתוך הירדן לפני ישראל הלכו הָכֵן,כהנים
12,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ל.,מה ליהושע אמר המלאך כששאלו האם מאויבינו הלך,לא
13,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,מ.,מה שבת ממחרת הפסח אחרי שעומר הביאו בזבח,מן
14,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,נ.,מה המרגלים אמרו שהם יהיו אם משפחתה של רחב מהדלת יצאו,נקִים
15,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ס.,מה עשו לשער האנשים שיצאו לרדוף אחרי המרגלים,סגרו
16,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ע.,מתי עלו ישראל מהירדן ואז הכהנים עמדו הָכֵן,עשור לחדש הראשוון
17,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,פ.,איזה חג חגגו ישראל  אחרי שנימולו במצות האל,פסח
18,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,צ.,מה השוטרים אמרו לעם שיכינו כי עוד מעט את הירדן יעבורו,צֵדָה
19,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ק.,היכן עברו השוטרים לפני שנסעו מהשִטים,קרב המחנה
20,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ר.,איך נקראים אותם אנשים שאחרי המרגלים הם מחפשים,רֹדפים
21,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ש.,כמה ימים אמרו השוטרים שנשארו לעם לפני שהם עוברים,שלֹשה
22,ספר יהושע,חידון לפרשת "יהושע" (יהושע פרקים א-ו א) ,מקבילה ל-בראשית,ת.,איך נקרא הסמל שעל החלון כמו דגל,תִקוַת השְני.
23,ספר יהושע,חידון לפרשת "יריחו" (יהושע פרקים ו ב-ח) ,מקבילה ל-נח,א.,מה ראה עכן בשלל בחרם מעל ולכן נתקלל,אדרת שנער
24,ספר יהושע,חידון לפרשת "יריחו" (יהושע פרקים ו ב-ח) ,מקבילה ל-נח,ב.,איזו עיר לעי שכנה על ידה לנו האורב לילה,בית אל
25,ספר יהושע,חידון לפרשת "יריחו" (יהושע פרקים ו ב-ח) ,מקבילה ל-נח,ג.,מה על נבלת מלך העי הקימו לאחר שאותה מהעץ הורידו,גל אבנים
26,ספר יהושע,חידון לפרשת "יריחו" (יהושע פרקים ו ב-ח) ,מקבילה ל-נח,ד.,כאשר את מה יציבו ימות הצעיר הבן של מי שיבנה את העיר,דלתיהּ
27,ספר יהושע,חידון לפרשת "יריחו" (יהושע פרקים ו ב-ח) ,מקבילה ל-נח,ה.,מי הלך לפני הכהנים שמחזיקים בארון ובשופרות תוקעים,הֶחלוץ
